"Estado","Produto","Ano_Teste","Modelo","preprocess","R2_Treino","R2_Teste","Ordem","best_sw","input_size","nhid","actfun","kernel","epsilon","cost","size","decay","maxit","epochs"
"GO","anhydrous",2019,"diff_elm","ts_norm_diff",0.914197373209212,0.499979894500731,NA,9,7,20,"radbas",NA,NA,NA,NA,NA,NA,NA
"GO","anhydrous",2019,"diff_svm","ts_norm_diff",0.960990996459418,-0.0160207900630658,NA,18,10,NA,NA,"radial",0,3,NA,NA,NA,NA
"GO","anhydrous",2019,"diff_mlp","ts_norm_diff",0.918687783001391,-0.696609461007704,NA,15,7,NA,NA,NA,NA,NA,2,0,700,NA
"GO","anhydrous",2019,"diff_conv1d","ts_norm_diff",0.999053470205214,0.316530211271628,NA,18,10,NA,NA,NA,NA,NA,NA,NA,NA,700
"GO","anhydrous",2019,"gmm_lstm","ts_norm_gminmax",0.85199259734323,-0.237635183720796,NA,12,8,NA,NA,NA,NA,NA,NA,NA,NA,700
"GO","anhydrous",2019,"gmm_elm","ts_norm_gminmax",0.906702242750495,0.653249118924253,NA,12,9,18,"sig",NA,NA,NA,NA,NA,NA,NA
"GO","anhydrous",2019,"gmm_svm","ts_norm_gminmax",0.933626311564042,-0.217255398069063,NA,9,6,NA,NA,"radial",0.1,4,NA,NA,NA,NA
"GO","anhydrous",2019,"gmm_mlp","ts_norm_gminmax",0.891198184156502,-0.00146249008321009,NA,12,8,NA,NA,NA,NA,NA,1,0,700,NA
"GO","anhydrous",2019,"gmm_conv1d","ts_norm_gminmax",0.965823087550412,-0.212919994938078,NA,9,7,NA,NA,NA,NA,NA,NA,NA,NA,700
"GO","anhydrous",2020,"an_lstm","ts_norm_an",0.816431153221208,0.388216925360766,NA,12,9,NA,NA,NA,NA,NA,NA,NA,NA,700
"GO","anhydrous",2020,"an_elm","ts_norm_an",0.147745331299034,-148.423338052854,NA,12,9,18,"radbas",NA,NA,NA,NA,NA,NA,NA
"GO","anhydrous",2020,"an_svm","ts_norm_an",0.794612078642149,-3.55776590323352,NA,9,6,NA,NA,"radial",0,10,NA,NA,NA,NA
"GO","anhydrous",2020,"an_mlp","ts_norm_an",0.89386465585792,0.670635802207877,NA,15,4,NA,NA,NA,NA,NA,3,0,700,NA
"GO","anhydrous",2020,"an_conv1d","ts_norm_an",0.873741912503403,-0.676711553358106,NA,9,8,NA,NA,NA,NA,NA,NA,NA,NA,700
"GO","anhydrous",2020,"diff_lstm","ts_norm_diff",0.895272713576306,0.674547518657289,NA,18,10,NA,NA,NA,NA,NA,NA,NA,NA,700
"GO","anhydrous",2020,"diff_elm","ts_norm_diff",0.910744796767089,0.95814717827693,NA,9,7,20,"radbas",NA,NA,NA,NA,NA,NA,NA
"GO","anhydrous",2020,"diff_svm","ts_norm_diff",0.962997053308298,0.687215756448227,NA,18,10,NA,NA,"radial",0.15,4,NA,NA,NA,NA
"GO","anhydrous",2020,"diff_mlp","ts_norm_diff",0.962265194854197,0.746469429373559,NA,18,10,NA,NA,NA,NA,NA,3,0,700,NA
"GO","anhydrous",2020,"diff_conv1d","ts_norm_diff",0.995329653648524,0.761915944533899,NA,18,10,NA,NA,NA,NA,NA,NA,NA,NA,700
"GO","anhydrous",2020,"gmm_lstm","ts_norm_gminmax",0.857414727714366,0.717425972894402,NA,12,10,NA,NA,NA,NA,NA,NA,NA,NA,700
"GO","anhydrous",2020,"gmm_elm","ts_norm_gminmax",0.912218180972728,-0.393502925108584,NA,15,8,19,"radbas",NA,NA,NA,NA,NA,NA,NA
"GO","anhydrous",2020,"gmm_svm","ts_norm_gminmax",0.939285826396547,0.76924150401085,NA,15,6,NA,NA,"radial",0,5,NA,NA,NA,NA
"GO","anhydrous",2020,"gmm_mlp","ts_norm_gminmax",0.905565007543,0.602996006014583,NA,12,3,NA,NA,NA,NA,NA,3,0,700,NA
"GO","anhydrous",2020,"gmm_conv1d","ts_norm_gminmax",0.960341082418806,0.979092625625215,NA,9,7,NA,NA,NA,NA,NA,NA,NA,NA,700
"GO","anhydrous",2021,"an_lstm","ts_norm_an",0.828066282817943,0.467094836139985,NA,12,8,NA,NA,NA,NA,NA,NA,NA,NA,700
